"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,0,0,0,84,62,775,0,122,0,5,46,59,364,378,52,0,15,0,70,115,71
71,0,0,0,0,0,39,126,6,124,0,218,90,668,851,0,0,0,0,0,0,0
0,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,139,93
107,72,10,595,1068,139,42,121,3,0,0,5,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,368,61,537,658,66,0,93,0,0,0,0,197,139,42
74,73,65,94,55,50,112,59,8,16,0,51,0,13,35,39,59,154,29,465,270,406
0,0,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,80,184,159,206,0,375,0,0,45,58,308,0,18,66,36,85,71,6,0,180,61
0,0,0,0,0,0,0,0,22,8,8,28,192,275,1549,0,0,0,0,0,4,0
0,8,0,0,0,0,0,0,0,0,0,89,0,0,11,96,50,1515,37,111,41,126
135,95,0,4,29,210,23,37,0,158,0,18,1242,14,89,0,0,0,5,0,0,0
0,0,23,0,0,0,0,0,155,73,218,473,136,59,695,16,14,41,0,29,85,35
0,0,0,0,0,0,0,2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,21,15,0,13,41,40,0,0,0,0,2,0,0,6,125,159,775,160,37,413,230
535,146,46,109,944,149,68,23,0,0,0,0,0,0,0,0,13,0,0,0,0,0
17,95,1035,0,117,67,435,255,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,1200,59,87,40,0,86,55,174,27,44,101,0,19,43,18,0,0,0,23,8,0
203,57,125,653,50,118,114,196,152,59,79,57,29,19,50,7,6,7,0,0,0,0
118,72,55,85,168,50,113,31,52,50,27,56,36,14,80,140,64,202,24,42,334,119
41,10,25,18,33,13,21,38,103,463,102,360,144,246,57,12,113,29,0,0,52,48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,16,0,1529,0,0
60,410,19,379,55,114,47,36,0,0,91,34,0,0,0,59,45,168,59,111,86,127
23,145,0,511,90,120,3,7,10,19,917,0,8,44,0,0,0,0,0,0,0,0
18,22,22,0,0,0,0,0,0,861,25,214,0,382,285,0,36,0,0,0,0,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,647,305,62,86,457,159
6,12,23,41,0,11,12,18,0,35,149,105,0,24,652,40,213,124,9,93,105,122
503,242,91,0,573,59,90,63,0,0,0,0,0,165,0,0,0,0,0,0,0,0
79,95,60,797,72,198,140,258,0,29,0,22,11,5,19,0,0,0,0,0,0,0
41,1418,42,71,40,30,43,17,0,0,11,0,14,0,0,0,7,12,0,21,11,0
11,19,0,10,25,26,0,0,0,40,24,26,0,60,30,369,135,315,0,219,253,190
457,26,9,6,17,0,14,19,5,638,53,103,40,101,109,6,18,67,8,16,15,23
28,139,0,0,71,40,41,38,0,0,0,0,178,52,0,306,0,618,0,39,118,79
316,104,6,6,34,10,11,15,6,200,4,103,808,24,94,0,0,4,0,0,0,0
0,35,0,481,0,0,20,0,0,0,1160,0,0,0,0,6,0,0,0,0,0,0
0,0,4,6,5,8,0,0,0,831,0,8,7,15,17,5,5,0,0,720,26,7
0,5,66,0,2,4,85,33,72,48,257,8,27,79,976,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,0,0,0,0,0,0,0
37,35,10,0,0,36,4,0,44,102,16,126,212,60,977,0,0,0,0,0,0,0
5,6,0,0,1116,34,54,131,0,74,0,0,46,27,80,14,0,0,0,0,0,12
18,16,51,75,44,18,48,60,0,31,23,893,9,32,61,22,20,46,14,24,51,24
9,0,35,9,0,0,22,18,59,63,185,403,61,106,387,55,14,74,0,0,46,24
0,0,0,0,0,0,0,0,0,0,0,0,19,0,1514,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1431,0,0,0,95,0,0,0,0,0,0,0,0
214,234,36,3,269,30,609,44,0,9,52,0,0,0,0,0,0,0,0,0,0,0
136,0,0,158,667,0,134,0,13,24,99,77,0,0,0,0,0,21,0,65,36,69
0,0,0,0,0,0,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,349,0,0,0,0,0,0,0,179,0,154,253,0,365,4,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,0,0,0,0,0,0,0
11,29,136,198,178,116,264,148,0,14,0,14,0,20,12,28,0,79,0,10,38,85
67,66,254,238,77,90,213,180,16,0,0,0,0,0,0,0,0,0,0,100,17,36
2,123,157,3,125,83,571,18,6,16,20,62,0,7,99,33,0,0,0,7,0,9
8,0,14,0,13,11,41,42,78,221,72,104,130,47,217,42,19,98,6,11,87,61
10,13,23,48,0,14,12,16,17,52,24,3,6,22,28,59,271,179,52,86,182,203
46,210,30,452,0,249,197,75,0,0,0,0,0,0,0,0,0,59,0,0,0,0
0,0,0,652,0,0,0,537,0,0,0,0,0,0,0,88,0,0,0,36,0,0
0,0,0,58,0,0,70,0,0,73,6,14,6,1016,20,6,18,0,0,0,15,0
118,47,190,444,115,24,93,95,0,39,15,0,0,108,11,0,0,0,0,0,0,0
11,25,51,54,22,19,29,10,80,75,80,178,36,89,180,25,26,23,0,104,82,96
107,0,159,0,861,0,115,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,34,0,0,0,0,38,807,0,0,0,0,0,70,76,88,0,41,83,44
0,23,22,0,415,0,56,721,0,28,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,278,119,0,0,623,0,0,0,164,0,0,0,0,71
25,42,318,127,97,27,262,29,0,22,4,31,3,24,20,9,2,49,38,0,9,99
121,152,0,0,0,98,0,70,0,128,0,66,356,0,245,0,0,0,0,0,0,0
54,49,27,247,40,21,123,0,0,59,0,25,40,76,326,0,101,23,0,14,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,0,0,0,435,0,0,61
0,0,0,0,0,0,0,0,551,4,0,5,334,0,315,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,24,0,54,0,0,0,0,219,49,862
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,944,0,0,0,0,0,190,0,0,64,0
378,82,76,82,300,109,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,33,17,43,0,15,65,0,28,19,56,0,25,23,0,0,138,0,116,425,166
39,750,64,0,0,66,61,0,0,0,0,0,0,0,0,6,21,61,13,0,76,0
0,58,534,0,88,46,279,139,0,0,0,0,0,0,0,0,0,0,0,0,8,3
82,705,0,63,107,51,107,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20,0,0,0,0,0,32,0,53,0,34,0,20,0,25,66,0,545,210,143
0,0,157,103,0,78,360,84,0,21,16,16,0,0,0,41,33,62,0,19,67,87
4,198,20,91,14,166,41,37,0,94,198,10,88,82,25,0,3,0,6,0,2,49
0,411,63,0,595,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,135,100,2,83,145,354,6,0,9,13,96,0,10,117,28,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,1101,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,790,0,0,0,10
128,115,0,18,0,32,75,0,68,0,0,0,0,41,0,0,96,0,0,518,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,168,165,19,0,371,288
112,149,67,67,211,138,191,66,0,0,9,16,0,6,10,0,0,0,0,0,11,0
8,376,12,155,34,0,0,20,33,0,0,75,22,17,0,17,0,21,49,0,69,145
0,0,21,571,13,0,45,22,0,57,0,0,0,0,0,0,46,138,6,0,19,111
0,2,0,0,0,0,0,0,0,0,0,437,0,0,609,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,21,970,0,12,0,36,0
21,164,58,0,21,104,45,56,8,59,18,14,11,23,230,10,0,28,0,74,69,26
0,0,0,0,0,0,0,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,7,316,180,125,21,193,17,38,0,39,0,21,5,0,0,0,0,0,0,0,0
65,60,0,31,34,0,46,0,0,0,44,0,49,75,58,33,0,81,40,157,0,257
0,0,0,0,6,0,0,197,105,12,0,8,41,16,626,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,7,0,29,268,10,0,81,37,46,132,6,58,274,63
0,0,0,0,0,0,0,0,0,0,61,31,167,0,751,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,987,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,284,169,26,93,253,84
60,42,106,230,149,75,104,81,0,9,23,15,14,12,13,0,0,15,0,0,12,12
103,179,15,0,0,30,77,44,0,59,25,78,0,0,0,0,0,329,25,0,0,0
0,267,0,97,0,0,49,0,0,319,0,108,0,0,120,0,0,0,0,0,0,0
160,156,10,7,8,60,24,41,0,54,0,40,141,26,10,38,0,42,27,48,30,36
73,0,806,0,64,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,32,0,0,124,0,27,0,767,0,0,0,0,0,0,0
0,0,32,30,0,0,20,15,35,81,15,107,21,84,131,10,290,13,0,27,10,0
658,0,44,0,58,10,43,30,0,0,0,0,0,70,0,0,0,0,0,0,0,0
0,126,110,33,105,98,182,34,0,15,20,42,0,0,41,0,18,21,0,0,57,0
0,0,0,10,0,0,0,29,35,454,0,53,65,175,79,0,0,0,0,0,0,0
62,148,14,35,425,29,6,17,6,78,38,0,0,16,0,0,0,0,0,0,0,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,12,0,0,223,39
21,28,402,0,22,51,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,723,23,0,44,91,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,61,214
23,0,0,11,0,12,162,117,0,63,0,309,67,22,87,0,0,3,0,0,0,0
39,21,25,4,55,7,24,165,0,18,0,117,0,0,393,0,0,3,0,0,0,0
0,0,0,5,0,0,0,0,51,36,57,110,69,29,352,6,18,40,5,0,55,30
215,41,38,202,204,21,86,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,53,61,82,43,0,55,47,70,74,74,70,33,51,48,34,27,0,0,0,0,0
0,0,0,0,0,0,41,17,0,0,0,0,0,0,0,0,0,0,0,465,176,159
0,0,8,11,0,0,10,363,0,0,2,0,0,0,0,9,7,78,11,34,137,183
284,63,71,72,106,41,74,40,0,0,0,0,0,0,0,0,0,42,0,10,46,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,833
0,0,0,0,0,0,0,0,0,0,837,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,64,0,51,0,0,0,0,0,0,35,35,0,330,120,201
33,0,0,25,0,0,21,0,44,18,24,0,0,32,11,0,0,16,0,284,179,147
0,0,0,0,0,0,0,0,0,0,299,162,21,117,219,0,0,0,0,0,0,0
32,0,0,0,0,0,0,12,0,46,0,5,35,2,685,0,0,0,0,0,0,0
0,0,0,0,38,0,36,105,0,0,0,54,0,0,203,0,0,97,0,206,50,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,0
0,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,0,0,19,0,0,0,0,0,0,0,0,0,10,0,0,468,106,170
125,135,179,0,102,16,72,26,12,20,58,0,0,0,18,0,0,8,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,700,29,44
12,0,8,0,0,16,0,8,9,0,0,544,0,6,8,46,19,52,0,29,12,0
0,0,378,0,0,0,121,0,0,31,0,0,0,0,0,0,76,78,0,0,85,0
4,7,0,14,0,9,10,7,0,0,0,83,0,0,379,17,173,23,0,24,0,18
0,7,10,50,9,85,27,238,20,0,9,26,15,0,41,0,0,12,0,28,33,148
7,13,0,3,0,22,0,4,0,19,0,11,566,0,70,6,6,5,7,0,0,18
0,0,0,0,0,0,0,0,91,25,0,0,522,27,27,0,0,24,0,0,0,41
0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,722,18,0,0,8
43,23,17,19,24,11,12,4,0,209,330,0,35,0,0,10,7,0,0,0,0,0
155,111,0,0,140,135,181,0,0,0,0,0,3,0,17,0,0,0,0,0,0,0
78,107,86,57,137,88,147,34,0,4,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,9,190,0,3,12,72,15,86,16,21,246,46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,202,0,43,0,454,13,0
0,0,0,0,0,0,0,0,0,0,0,9,0,0,69,0,630,0,0,0,0,0
18,116,49,42,51,60,34,22,0,24,91,36,12,21,13,0,20,28,13,8,25,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,60,152,0,0,240
38,26,214,19,62,43,275,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,566,0,110,0,0,7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,12
67,0,39,57,190,30,107,0,0,0,126,0,5,6,27,0,0,0,0,21,0,0
0,0,0,89,27,56,372,23,0,0,0,0,0,0,0,0,0,27,0,0,29,51
0,14,268,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
