"ID","Taxonomy"
"ASV126","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariaceae; g__Neurospora"
"ASV127","Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"ASV128","Root; k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Onygenales; f__Onygenales_fam_Incertae_sedis; g__Malbranchea"
"ASV130","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__Petriella"
"ASV132","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideomycetes_ord_Incertae_sedis; f__Eremomycetaceae; g__Arthrographis"
"ASV133","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma"
"ASV134","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Hypocreales_fam_Incertae_sedis_unclassified"
"ASV135","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Geosmithia"
"ASV138","Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_unclassified; g__Helotiales_unclassified"
"ASV139","Root; k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Piskurozymaceae; g__Solicoccozyma"
"ASV140","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Sporocadaceae; g__Sporocadaceae_unclassified"
"ASV142","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Savoryellales; f__Savoryellaceae; g__Savoryellaceae_unclassified"
"ASV146","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV147","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV148","Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_unclassified; g__Helotiales_unclassified"
"ASV150","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV151","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Endophoma"
"ASV153","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariales_unclassified; g__Sordariales_unclassified"
"ASV154","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Metarhizium"
"ASV158","Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales; f__Pseudeurotiaceae; g__Pseudeurotium"
"ASV160","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV162","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma"
"ASV163","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV164","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Mycosphaerella"
"ASV168","Root; k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Vishniacozyma"
"ASV169","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_unclassified; g__Hypocreales_unclassified"
"ASV170","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV171","Root; k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Trichomonascaceae; g__Blastobotrys"
"ASV172","Root; k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Trichosporonales; f__Trichosporonaceae; g__Cutaneotrichosporon"
"ASV173","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV178","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Volutella"
"ASV179","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Acrostalagmus"
"ASV182","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Mariannaea"
"ASV183","Root; k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium"
"ASV184","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Sarocladium"
"ASV185","Root; k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"ASV186","Root; k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricaceae; g__Melanophyllum"
"ASV187","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__Microascus"
"ASV189","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium"
"ASV190","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_unclassified; f__Sordariomycetes_unclassified; g__Sordariomycetes_unclassified"
"ASV191","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae; g__Cephalotrichum"
"ASV192","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium"
"ASV193","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_unclassified; f__Sordariomycetes_unclassified; g__Sordariomycetes_unclassified"
"ASV195","Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Thelebolales; f__Pseudeurotiaceae; g__Pseudeurotium"
"ASV196","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideomycetes_ord_Incertae_sedis; f__Eremomycetaceae; g__Eremomycetaceae_unclassified"
"ASV197","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Schizothecium"
