"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
7,4,9,19,11,13,14,19,0,8,6,202,2,11,10,13,8,10,14,10,17,5
2,0,11,4,0,0,3,7,41,20,48,90,13,49,63,23,3,15,0,0,11,8
0,0,0,0,0,0,0,0,0,0,0,0,3,0,214,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,357,0,0,0,43,0,0,0,0,0,0,0,0
78,38,9,0,61,14,127,12,0,3,16,0,0,0,0,0,0,0,0,0,0,0
55,0,0,48,156,0,21,0,11,8,27,18,0,0,0,0,0,1,0,18,11,11
0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,75,0,0,0,0,0,0,0,35,0,38,63,0,46,2,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0
6,4,34,48,35,47,59,34,0,4,0,3,0,9,2,11,0,14,0,4,14,20
25,12,67,75,19,39,49,39,12,0,0,0,0,0,0,0,0,0,0,21,7,10
0,30,38,0,32,27,114,6,3,7,2,14,0,2,10,10,0,0,0,2,0,0
4,0,1,0,1,4,6,10,58,58,21,32,36,18,29,22,5,16,6,5,30,13
6,3,9,10,0,7,3,8,10,21,7,2,0,9,1,31,97,40,49,24,53,34
20,40,5,110,0,117,47,24,0,0,0,0,0,0,0,0,0,14,0,0,0,0
0,0,0,179,0,0,0,112,0,0,0,0,0,0,0,40,0,0,0,7,0,0
0,0,0,14,0,0,15,0,0,16,2,5,0,345,1,5,5,0,0,0,5,0
38,5,43,138,28,9,28,36,0,10,5,0,0,41,0,0,0,0,0,0,0,0
4,3,13,19,6,9,3,3,61,20,25,43,12,35,30,12,11,7,0,26,26,15
35,0,31,0,198,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,0,0,0,0,28,218,0,0,0,0,0,36,28,14,0,14,26,14
0,5,4,0,106,0,6,162,0,2,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,211,27,0,0,149,0,0,0,56,0,0,0,0,18
6,6,95,33,30,10,50,7,0,8,0,5,1,9,2,7,1,11,36,0,3,8
40,30,0,0,0,43,0,17,0,23,0,13,91,0,32,0,0,0,0,0,0,0
18,4,6,66,11,8,25,0,0,12,0,2,10,28,51,0,30,4,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,424,0,0,11
0,0,0,0,0,0,0,0,425,1,0,0,75,0,37,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,53,8,164
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,46,0,0,20,0
142,13,23,32,64,48,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,4,10,0,3,15,0,11,1,8,0,10,4,0,0,34,0,36,124,35
11,113,15,0,0,27,18,0,0,0,0,0,0,0,0,4,9,12,12,0,13,0
0,11,131,0,12,20,79,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0
24,130,0,12,20,25,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,0,0,0,0,26,0,13,0,9,0,1,0,12,12,0,132,72,22
0,0,38,24,0,30,95,21,0,7,5,3,0,0,0,22,9,9,0,4,14,20
1,40,6,35,5,63,12,10,0,30,46,3,26,25,4,0,1,0,6,0,0,10
0,85,18,0,131,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,21,0,19,63,82,1,0,2,1,15,0,2,20,12,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,150,0,0,0,1
42,16,0,6,0,10,11,0,58,0,0,0,0,15,0,0,40,0,0,160,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,43,19,0,105,51
38,32,16,20,55,57,38,12,0,0,1,1,0,3,1,0,0,0,0,0,4,0
3,62,3,55,11,0,0,5,24,0,0,14,6,7,0,10,0,4,48,0,21,36
0,0,6,172,3,0,7,7,0,19,0,0,0,0,0,0,15,32,6,0,4,10
0,0,0,0,0,0,0,0,0,0,0,98,0,0,87,0,0,0,0,0,0,0
