"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo3","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,18,9,2,15,0,33,18,0,31,33,0,5,0,0,0,9,0,0,8,0,0
0,19,17,0,15,66,6,0,0,0,0,0,26,64,17,0,0,0,0,4,0,25
0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,11,32,17,4,0,10,6,0,14,0,30,0,18,0,0,4,0,0,0,0,10
0,0,0,0,0,0,8,0,0,0,10,22,3,112,0,10,4,6,0,0,0,17
0,0,0,1,0,0,12,155,0,0,0,13,0,6,0,0,0,0,0,5,21,0
0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,20,30,34,0,24,24,30
8,0,4,32,6,0,0,0,0,0,0,0,0,0,0,23,0,9,8,0,0,0
0,0,23,0,15,50,0,8,0,0,0,0,8,0,20,13,12,10,0,7,5,36
0,12,14,11,9,7,26,24,23,28,36,0,9,0,0,29,0,0,0,0,0,0
0,48,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,18,6,12,0,11,16,0,17,13,0,19,16,17,0,0,0,0,7,0,14
0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,8,6,0,31
0,30,22,34,0,0,10,22,0,10,6,0,0,37,0,0,0,0,0,0,0,0
37,19,23,18,13,35,12,2,0,0,0,0,10,0,0,0,11,13,0,5,0,23
0,19,15,15,15,54,18,12,0,0,0,0,0,0,0,0,14,8,0,10,7,19
0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,43,20,13,0,17,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,10,0,4
0,17,7,0,0,0,0,0,8,8,18,15,8,0,0,0,0,0,0,0,0,0
