"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo3","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,55,65,0,0,40,0,0,72,67,79,0,40,0,0,0,0,0,0,0,0,0
0,40,32,33,60,0,23,29,0,0,0,0,0,0,0,0,38,0,0,22,0,23
0,0,0,0,14,0,0,21,0,0,24,0,14,0,41,0,44,29,0,193,151,0
0,0,0,0,0,0,0,0,0,26,15,0,0,0,0,0,0,21,0,0,0,44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,117,7,0,18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,17,0,0,0,0
0,51,0,57,105,0,78,0,0,0,35,0,0,0,67,0,0,0,0,0,29,44
0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,64,39,34,23,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,30,0,54,0,47
0,0,0,0,0,0,0,0,35,0,19,0,0,0,0,0,0,0,33,0,0,0
0,18,30,21,197,21,89,73,0,0,0,0,0,0,66,0,0,0,0,0,0,0
0,56,0,72,263,0,78,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,69,50,74,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,52,0,10,0,0,0,0,10,0,0,0,0,31,0,0,0,0,0,0,0
0,0,0,0,193,0,59,38,0,0,0,0,0,0,44,0,0,0,0,46,20,104
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,25,0,228,28,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
